roi;rsa;category
9_V1;-0.0413332172597004;control
1_LTL;0.0076893848187082345;semantic
2_IFG;0.010561923043898556;semantic
3_Prec;-0.01028923467708657;semantic
4_ATL;0.023866734960128835;intersection
5_aPFC;0.012318152265880466;intersection
6_Ins;0.05605536025293959;social
7_ACC;0.04220435574559929;social
8_PCC;0.024089416062206905;social
9_V1;-0.043957969424464116;control
1_LTL;0.005596846598246074;semantic
2_IFG;0.09729581929995879;semantic
3_Prec;0.019572130201886428;semantic
4_ATL;-0.001144252725177227;intersection
5_aPFC;0.07933635933464044;intersection
6_Ins;-0.003354292663403813;social
7_ACC;0.005106737092065122;social
8_PCC;-0.01661436432377712;social
9_V1;-0.004503296511333737;control
1_LTL;0.0237792816686395;semantic
2_IFG;-0.013784427640271045;semantic
3_Prec;-0.014769374122514636;semantic
4_ATL;-0.00929991809950017;intersection
5_aPFC;0.00809034901340533;intersection
6_Ins;0.008721120767217722;social
7_ACC;0.00445696261744845;social
8_PCC;-0.02407929837796032;social
9_V1;-0.0014370471637051203;control
1_LTL;0.04517270642752757;semantic
2_IFG;-0.012757542386538982;semantic
3_Prec;-0.016302821226397663;semantic
4_ATL;0.08730090171184485;intersection
5_aPFC;0.07902617684338337;intersection
6_Ins;-0.03467506153979771;social
7_ACC;0.019601015636126092;social
8_PCC;0.0012507554468398066;social
9_V1;-0.0013007146372380966;control
1_LTL;0.031550324112833796;semantic
2_IFG;0.00025320193547987904;semantic
3_Prec;0.0568070732031446;semantic
4_ATL;0.030199537858666928;intersection
5_aPFC;-0.012654961708206167;intersection
6_Ins;0.04789986967281228;social
7_ACC;0.011302999667947702;social
8_PCC;0.013581313178941642;social
9_V1;0.07155303849926321;control
1_LTL;0.1668132355162578;semantic
2_IFG;0.11130388606814795;semantic
3_Prec;0.08003223082956344;semantic
4_ATL;0.12442998259002862;intersection
5_aPFC;0.10697079273035771;intersection
6_Ins;0.053761969132839385;social
7_ACC;0.18738164942326624;social
8_PCC;0.14691024234671196;social
9_V1;-0.04547925542272681;control
1_LTL;0.11412506819100225;semantic
2_IFG;0.016186516300425405;semantic
3_Prec;0.047205120393251684;semantic
4_ATL;0.07756123462895533;intersection
5_aPFC;0.06787037341605497;intersection
6_Ins;0.03669502109814924;social
7_ACC;0.0460193204305354;social
8_PCC;0.027319648389102686;social
9_V1;-0.004901052105703227;control
1_LTL;0.024728477410137457;semantic
2_IFG;-0.01426510859525047;semantic
3_Prec;-0.022397138805405073;semantic
4_ATL;-0.00881914365485248;intersection
5_aPFC;-0.015002180838337069;intersection
6_Ins;-0.027988181024889612;social
7_ACC;-0.011691822553364649;social
8_PCC;0.0012145123062664025;social
9_V1;-0.01810725693300426;control
1_LTL;-0.006356667906721804;semantic
2_IFG;-0.033354425844147335;semantic
3_Prec;-0.036166467337442144;semantic
4_ATL;-0.001800675976959034;intersection
5_aPFC;-0.04723181102085764;intersection
6_Ins;-0.030733941030099667;social
7_ACC;-0.05176930236190695;social
8_PCC;-0.0380216852575214;social
9_V1;-0.04772494409303703;control
