ID;1_LTL;2_IFG;3_Prec;4_ATL;5_aPFC;6_Ins;7_ACC;8_PCC;9_V1;10_PM
sub-019;0.5243681548979903;0.4463360332701896;0.48524220502101156;0.4388690204019422;0.4871535262481765;0.44267873473120384;0.44453221960938005;0.45125144250658655;0.4032942223528644;0.41883586996755723
sub-020;0.45049072441047755;0.44496497158534193;0.4654533281076491;0.4085539279726523;0.4281747392601302;0.42068527227992253;0.4137898186252096;0.44335507980055305;0.40821031201689634;0.4194394092799443
sub-021;0.3748584710518867;0.4108490103860474;0.4400951510005008;0.3649847856380778;0.3775516036318506;0.43034938598210204;0.383765268796133;0.43122441592091804;0.2943570775360899;0.3669151588390271
sub-022;0.37413585690334655;0.3874797232564723;0.40031122760032223;0.3712032137958064;0.3246674069719337;0.3912982831449909;0.41746004528926334;0.4115022209158012;0.39159358873865047;0.36706008992531625
sub-023;0.3593127408713829;0.438345771550504;0.3953699621137892;0.42479301391338437;0.3667981252857796;0.4095983843926231;0.4275501066910532;0.4287741960067063;0.3445944106952338;0.37778158817253465
sub-024;0.5676249809480263;0.46559349620049206;0.49426603631850546;0.516803840877915;0.5373942615454961;0.4488815130533238;0.4962787412633091;0.4728849587388682;0.389178070633832;0.4713580791255688
sub-025;0.45617909944041635;0.4407510832407952;0.450832979510963;0.46800629259476995;0.5297197182485248;0.3860059169987154;0.3924271125917216;0.4389452282970802;0.45182572343066174;0.43343308402464786
sub-026;0.38022976680384085;0.3299570514076687;0.37754071678968804;0.3554669638774577;0.3568332625688593;0.34855381910423067;0.37576820280009576;0.4000567476647724;0.35589835499814926;0.3269897064907353
sub-027;0.4648273346833018;0.44735055087421344;0.43388829011256996;0.4330241470159166;0.3854928745618046;0.4105156008448189;0.4561430367757529;0.4503975058244606;0.3501895671391556;0.3888045158621291
sub-028;0.46419385655496764;0.4537084666971498;0.42220943018268126;0.3095605526161082;0.40876009754610576;0.4558511333202691;0.4357894049252074;0.40637179654669364;0.3839823252117491;0.3933790308533107
sub-029;0.5198072484595118;0.4871780216430422;0.4888457497768197;0.4666665305811396;0.485197296797091;0.504104339495286;0.5416775535088292;0.4558416073333768;0.42267552311276585;0.4080252357001328
sub-030;0.43006292594769957;0.41906993707405227;0.46232744355172334;0.47788133886384915;0.41352921484094324;0.39018238182332826;0.3964348313628149;0.4292845167330764;0.3670492030831537;0.3955883793846756
