,roi,accuracy
186,ACC,0.3049053724053724
187,ACC,0.3019682609057609
188,ACC,0.26210976985976986
189,ACC,0.25461527014652013
190,ACC,0.31084219831094834
191,ACC,0.2679218408905909
192,ACC,0.26929826654826655
193,ACC,0.28511191933066937
194,ACC,0.27810526279276276
195,ACC,0.27402369967994966
196,ACC,0.322656493968994
197,ACC,0.25552425699300696
198,ACC,0.30290530418655415
199,ACC,0.2987684306434306
200,ACC,0.28923194398194396
201,ACC,0.30471786084286084
202,ACC,0.2674204927017427
203,ACC,0.27009137852887855
204,ACC,0.2855506669256669
205,ACC,0.27143297674547673
206,ACC,0.3229092042217042
207,ACC,0.271861790986791
208,ACC,0.2832843105968106
209,ACC,0.28161950780700784
210,PCC,0.2966166426166426
211,PCC,0.2691603720353721
212,PCC,0.27820973470973465
213,PCC,0.3016482337107337
214,PCC,0.24874028286528285
215,PCC,0.2887727342102342
216,PCC,0.3401515660265661
217,PCC,0.2632240860990861
218,PCC,0.2810995485995486
219,PCC,0.26045388407888403
220,PCC,0.2928942319254819
221,PCC,0.22784180749805746
222,PCC,0.27568124005624006
223,PCC,0.2729939366189367
224,PCC,0.2835566493691493
225,PCC,0.2747733077108077
226,PCC,0.29295865939615945
227,PCC,0.2504228514541015
228,PCC,0.3241471583971584
229,PCC,0.272531197968698
230,PCC,0.2853534312909313
231,PCC,0.29846932465682463
232,PCC,0.3236112012987013
233,PCC,0.31129176726051727
234,PCC,0.27449979881229886
235,PCC,0.28367204092204096
236,PCC,0.30843696465571463
237,PCC,0.28603319712694714
238,PCC,0.2937716114903615
239,PCC,0.25131963406963403
240,V1,0.2935626815314315
241,V1,0.3258395042457542
242,V1,0.29542764180264175
243,V1,0.3095259925259925
244,V1,0.2764847513597513
245,V1,0.2673648851148851
246,V1,0.29688199763199763
247,V1,0.2721422188922189
248,V1,0.28948048479298477
249,V1,0.28189240389240394
250,V1,0.2946155129592629
251,V1,0.26946140896140897
252,V1,0.28284104205979205
253,V1,0.28999274336774333
254,V1,0.30209603012728015
255,V1,0.30286461223961225
256,V1,0.31163569994819995
257,V1,0.27828818635068636
258,V1,0.2977426069301069
259,V1,0.3078942353942354
260,V1,0.3136179734617235
261,V1,0.2929526977651977
262,V1,0.2937559153809154
263,V1,0.31009730778480776
264,V1,0.2680727073852074
265,V1,0.2911136722074222
266,V1,0.3149898088023088
267,V1,0.2772652428589929
268,V1,0.25471145752395746
269,V1,0.30542148823398824
