roi;accuracy;category
7_ACC;0.41527852684414146;social
9_V1;0.35003448701538403;control
1_LTL;0.45711277463769157;semantic
3_Prec;0.4623411080429354;semantic
8_PCC;0.4102217895614905;social
2_IFG;0.4378406154568945;semantic
6_Ins;0.39797338597172477;social
5_aPFC;0.41577986198002814;intersection
4_ATL;0.43718287526427063;intersection
7_ACC;0.39102471679298917;social
9_V1;0.3937605168917461;control
1_LTL;0.47522885475543286;semantic
3_Prec;0.40200593979663746;semantic
8_PCC;0.39709640903577775;social
2_IFG;0.4348766797064139;semantic
6_Ins;0.40024039037743353;social
5_aPFC;0.43279894938948094;intersection
4_ATL;0.39983631401820774;intersection
7_ACC;0.41046373799696056;social
9_V1;0.3888792109514701;control
1_LTL;0.43049395233780624;semantic
3_Prec;0.41857450873231605;semantic
8_PCC;0.39842935764862675;social
2_IFG;0.4050259057111216;semantic
6_Ins;0.417775045183683;social
5_aPFC;0.38418735887589706;intersection
4_ATL;0.40278859429606934;intersection
7_ACC;0.44719019214451106;social
9_V1;0.3997944861524596;control
1_LTL;0.4833317752752969;semantic
3_Prec;0.4593508950444167;semantic
8_PCC;0.40037794892446055;social
2_IFG;0.44588247208679094;semantic
6_Ins;0.4257583847492485;social
5_aPFC;0.42262725738639356;intersection
4_ATL;0.3689578509345951;intersection
7_ACC;0.44607405329996697;social
9_V1;0.40220842741606866;control
1_LTL;0.46313065395291303;semantic
3_Prec;0.40807793166597156;semantic
8_PCC;0.4005160767619239;social
2_IFG;0.4316707655578088;semantic
6_Ins;0.4231764728442469;social
5_aPFC;0.3816807131591185;intersection
4_ATL;0.4019173402271409;intersection
7_ACC;0.5222215930064767;social
9_V1;0.397080708604795;control
1_LTL;0.636120309646057;semantic
3_Prec;0.534923271634235;semantic
8_PCC;0.47293371541710416;social
2_IFG;0.5431559304482894;semantic
6_Ins;0.4767711224729497;social
5_aPFC;0.564049278978681;intersection
4_ATL;0.5045528852837824;intersection
7_ACC;0.40913057964552985;social
9_V1;0.3918657685061339;control
1_LTL;0.4378126902628564;semantic
3_Prec;0.45091377107573116;semantic
8_PCC;0.4004751777384668;social
2_IFG;0.44476902988115613;semantic
6_Ins;0.40701590537553994;social
5_aPFC;0.41908126710867577;intersection
4_ATL;0.3841141301481833;intersection
7_ACC;0.5463488408048208;social
9_V1;0.3601119764325744;control
1_LTL;0.5710318958450188;semantic
3_Prec;0.5381103692357845;semantic
8_PCC;0.5005557772791992;social
2_IFG;0.5424323023783156;semantic
6_Ins;0.4717077035183348;social
5_aPFC;0.48814773266600503;intersection
4_ATL;0.37916561797375753;intersection
7_ACC;0.3879356869597734;social
9_V1;0.3986032908582743;control
1_LTL;0.47370884929024465;semantic
3_Prec;0.4484837099039757;semantic
8_PCC;0.37284993983498965;social
2_IFG;0.48790914004784436;semantic
6_Ins;0.4306775035595633;social
5_aPFC;0.3878233869305298;intersection
4_ATL;0.39569592459957914;intersection
7_ACC;0.4023565927428054;social
9_V1;0.35969810228531157;control
1_LTL;0.4673792385171122;semantic
3_Prec;0.41088354474982386;semantic
8_PCC;0.370694935831979;social
2_IFG;0.43187568015225825;semantic
6_Ins;0.43415380070280407;social
5_aPFC;0.4133807821930746;intersection
4_ATL;0.31744680430311656;intersection
7_ACC;0.40327608668555515;social
9_V1;0.3745593392395718;control
1_LTL;0.38901775826609714;semantic
3_Prec;0.37962497543062323;semantic
8_PCC;0.3954453469195994;social
2_IFG;0.3851256394030481;semantic
6_Ins;0.38581382165269207;social
5_aPFC;0.34610335677611426;intersection
4_ATL;0.39009584453936613;intersection
