affect;likableness;category
87.5;93;AffectiveLikable
47.5;87;AffectiveLikable
83.5;87.5;AffectiveLikable
88;90.5;AffectiveLikable
88.5;72.5;AffectiveLikable
65;94;AffectiveLikable
100;95;AffectiveLikable
91;84.5;AffectiveLikable
90;89;AffectiveLikable
60.5;85;AffectiveLikable
90;70.5;AffectiveLikable
80;79;AffectiveLikable
25;74;AffectiveLikable
90;80;AffectiveLikable
90.5;81.5;AffectiveLikable
100;77.5;AffectiveLikable
89.5;75;AffectiveLikable
89.5;65.5;AffectiveLikable
60;80;AffectiveLikable
92.5;92.5;AffectiveLikable
92.5;87.5;AffectiveLikable
94.5;92.5;AffectiveLikable
100;100;AffectiveLikable
88.5;100;AffectiveLikable
83;88;AffectiveLikable
95;80;AffectiveLikable
80;80;AffectiveLikable
100;95;AffectiveLikable
55;71;AffectiveLikable
76.5;90;AffectiveLikable
70.5;80;AffectiveLikable
58.5;84;AffectiveLikable
95;85;AffectiveLikable
90.5;89.5;AffectiveLikable
82;80.5;AffectiveLikable
63;77.5;AffectiveLikable
100;87.5;AffectiveLikable
95.5;82.5;AffectiveLikable
92.5;66.5;AffectiveLikable
65;89.5;AffectiveLikable
87.5;81;AffectiveLikable
75;69.5;AffectiveLikable
53.5;90;AffectiveLikable
100;80;AffectiveLikable
74.5;85;AffectiveLikable
100;90;AffectiveLikable
95.5;90;AffectiveLikable
98;84.5;AffectiveLikable
67.5;72.5;AffectiveLikable
85;77.5;AffectiveLikable
100;95;AffectiveLikable
89.5;91;AffectiveLikable
100;100;AffectiveLikable
74.5;75.5;AffectiveLikable
77;87.5;AffectiveLikable
97;78;AffectiveLikable
80;80;AffectiveLikable
100;97;AffectiveLikable
66.5;75.5;AffectiveLikable
91.5;89.5;AffectiveLikable
82.5;82.5;AffectiveLikable
68;86.5;AffectiveLikable
96;89;AffectiveLikable
100;80;AffectiveLikable
91;88;AffectiveLikable
64;89;AffectiveLikable
95;100;AffectiveLikable
70;92.5;AffectiveLikable
91;84.5;AffectiveLikable
95;99.5;AffectiveLikable
98;79.5;AffectiveLikable
