affect;likableness;category
36.5;30.5;NonaffectiveUnlikable
7.5;42.5;NonaffectiveUnlikable
25;2.5;NonaffectiveUnlikable
9.5;12;NonaffectiveUnlikable
85;0;NonaffectiveUnlikable
11;0;NonaffectiveUnlikable
28.5;5;NonaffectiveUnlikable
17.5;58;NonaffectiveUnlikable
0;0;NonaffectiveUnlikable
38;31;NonaffectiveUnlikable
37;41.5;NonaffectiveUnlikable
20;7;NonaffectiveUnlikable
56.5;3;NonaffectiveUnlikable
57.5;24;NonaffectiveUnlikable
71;17.5;NonaffectiveUnlikable
19.5;30;NonaffectiveUnlikable
85.5;8;NonaffectiveUnlikable
40.5;9.5;NonaffectiveUnlikable
54.5;37;NonaffectiveUnlikable
40;7.5;NonaffectiveUnlikable
24.5;19.5;NonaffectiveUnlikable
45;30;NonaffectiveUnlikable
74.5;0;NonaffectiveUnlikable
55;14.5;NonaffectiveUnlikable
40;49.5;NonaffectiveUnlikable
0;50;NonaffectiveUnlikable
54.5;14;NonaffectiveUnlikable
10;35;NonaffectiveUnlikable
80.5;0;NonaffectiveUnlikable
69.5;4;NonaffectiveUnlikable
55.5;20;NonaffectiveUnlikable
30;12.5;NonaffectiveUnlikable
15;10;NonaffectiveUnlikable
39;4;NonaffectiveUnlikable
100;2.5;NonaffectiveUnlikable
39;15.5;NonaffectiveUnlikable
35.5;0;NonaffectiveUnlikable
49;45;NonaffectiveUnlikable
0;0;NonaffectiveUnlikable
5;20;NonaffectiveUnlikable
32.5;29.5;NonaffectiveUnlikable
10;10.5;NonaffectiveUnlikable
21;1.5;NonaffectiveUnlikable
75.5;5.5;NonaffectiveUnlikable
62.5;24.5;NonaffectiveUnlikable
13;15;NonaffectiveUnlikable
22;7.5;NonaffectiveUnlikable
24;12.5;NonaffectiveUnlikable
68.5;27;NonaffectiveUnlikable
22.5;0;NonaffectiveUnlikable
32.5;12;NonaffectiveUnlikable
65;0.5;NonaffectiveUnlikable
14.5;67;NonaffectiveUnlikable
56.5;24.5;NonaffectiveUnlikable
23.5;0;NonaffectiveUnlikable
0;55;NonaffectiveUnlikable
45.5;7;NonaffectiveUnlikable
10;47.5;NonaffectiveUnlikable
75;0;NonaffectiveUnlikable
55;5.5;NonaffectiveUnlikable
43;20.5;NonaffectiveUnlikable
25;0;NonaffectiveUnlikable
12.5;3.5;NonaffectiveUnlikable
85.5;19;NonaffectiveUnlikable
75;0;NonaffectiveUnlikable
11.5;0;NonaffectiveUnlikable
11;1;NonaffectiveUnlikable
35;40;NonaffectiveUnlikable
60;60;NonaffectiveUnlikable
75;2.5;NonaffectiveUnlikable
59;33;NonaffectiveUnlikable
75;5;NonaffectiveUnlikable
19;3;NonaffectiveUnlikable
78.5;8;NonaffectiveUnlikable
73.5;5.5;NonaffectiveUnlikable
40;10;NonaffectiveUnlikable
94;7.5;NonaffectiveUnlikable
52.5;9;NonaffectiveUnlikable
37;4.5;NonaffectiveUnlikable
25.5;12.5;NonaffectiveUnlikable
74.5;12;NonaffectiveUnlikable
71.5;5;NonaffectiveUnlikable
71.5;7;NonaffectiveUnlikable
33.5;18.5;NonaffectiveUnlikable
69;10;NonaffectiveUnlikable
0;15;NonaffectiveUnlikable
76.5;6.5;NonaffectiveUnlikable
50;7.5;NonaffectiveUnlikable
90;0;NonaffectiveUnlikable
64.5;19;NonaffectiveUnlikable
66;36.5;NonaffectiveUnlikable
62.5;12.5;NonaffectiveUnlikable
90;5;NonaffectiveUnlikable
98.5;5.5;NonaffectiveUnlikable
100;0;NonaffectiveUnlikable
11;0;NonaffectiveUnlikable
48.5;0.5;NonaffectiveUnlikable
34.5;44.5;NonaffectiveUnlikable
9;10;NonaffectiveUnlikable
0;20;NonaffectiveUnlikable
22;24;NonaffectiveUnlikable
3;4.5;NonaffectiveUnlikable
50;17.5;NonaffectiveUnlikable
51.5;22;NonaffectiveUnlikable
60.5;28;NonaffectiveUnlikable
28;30;NonaffectiveUnlikable
14.5;12.5;NonaffectiveUnlikable
15;8.5;NonaffectiveUnlikable
27;17.5;NonaffectiveUnlikable
30.5;11;NonaffectiveUnlikable
36.5;8.5;NonaffectiveUnlikable
80.5;24.5;NonaffectiveUnlikable
76;10;NonaffectiveUnlikable
25;16;NonaffectiveUnlikable
26;4.5;NonaffectiveUnlikable
5;20;NonaffectiveUnlikable
36.5;4.5;NonaffectiveUnlikable
5;30;NonaffectiveUnlikable
74.5;0;NonaffectiveUnlikable
36.5;14.5;NonaffectiveUnlikable
47.5;25.5;NonaffectiveUnlikable
15;7.5;NonaffectiveUnlikable
17.5;0;NonaffectiveUnlikable
8;19.5;NonaffectiveUnlikable
37.5;0;NonaffectiveUnlikable
30;9.5;NonaffectiveUnlikable
35;20.5;NonaffectiveUnlikable
36;35;NonaffectiveUnlikable
0;0;NonaffectiveUnlikable
22.5;22.5;NonaffectiveUnlikable
34.5;14;NonaffectiveUnlikable
49.5;9;NonaffectiveUnlikable
23.5;1;NonaffectiveUnlikable
57;7;NonaffectiveUnlikable
66;19.5;NonaffectiveUnlikable
9.5;2;NonaffectiveUnlikable
20.5;10;NonaffectiveUnlikable
29.5;9;NonaffectiveUnlikable
31.5;5;NonaffectiveUnlikable
40;15;NonaffectiveUnlikable
47;6;NonaffectiveUnlikable
25;30.5;NonaffectiveUnlikable
80.5;9;NonaffectiveUnlikable
20.5;2.5;NonaffectiveUnlikable
32.5;19;NonaffectiveUnlikable
0;20;NonaffectiveUnlikable
61.5;0.5;NonaffectiveUnlikable
10;15;NonaffectiveUnlikable
46;10;NonaffectiveUnlikable
42.5;2.5;NonaffectiveUnlikable
53;28.5;NonaffectiveUnlikable
22.5;0;NonaffectiveUnlikable
20;1;NonaffectiveUnlikable
1;2.5;NonaffectiveUnlikable
90;0;NonaffectiveUnlikable
11.5;0;NonaffectiveUnlikable
30;4;NonaffectiveUnlikable
15.5;25;NonaffectiveUnlikable
10;10;NonaffectiveUnlikable
39.5;42.5;NonaffectiveUnlikable
21.5;21.5;NonaffectiveUnlikable
24.5;9.5;NonaffectiveUnlikable
21;22;NonaffectiveUnlikable
67.5;13;NonaffectiveUnlikable
69;19;NonaffectiveUnlikable
47;18;NonaffectiveUnlikable
57;85;NonaffectiveUnlikable
43;9.5;NonaffectiveUnlikable
50;27.5;NonaffectiveUnlikable
50;45;NonaffectiveUnlikable
56;13;NonaffectiveUnlikable
36;1;NonaffectiveUnlikable
31.5;20.5;NonaffectiveUnlikable
30;9.5;NonaffectiveUnlikable
20.5;24.5;NonaffectiveUnlikable
0;50;NonaffectiveUnlikable
64;23;NonaffectiveUnlikable
27.5;60;NonaffectiveUnlikable
95;0;NonaffectiveUnlikable
62;21;NonaffectiveUnlikable
56;29.5;NonaffectiveUnlikable
37.5;17.5;NonaffectiveUnlikable
70;2;NonaffectiveUnlikable
50.5;9;NonaffectiveUnlikable
95;0;NonaffectiveUnlikable
39;40;NonaffectiveUnlikable
18;7;NonaffectiveUnlikable
45;45;NonaffectiveUnlikable
0;0;NonaffectiveUnlikable
0;30;NonaffectiveUnlikable
27.5;20.5;NonaffectiveUnlikable
5.5;15;NonaffectiveUnlikable
14.5;9.5;NonaffectiveUnlikable
42;16.5;NonaffectiveUnlikable
57;30;NonaffectiveUnlikable
6;40.5;NonaffectiveUnlikable
16;10;NonaffectiveUnlikable
12.5;16;NonaffectiveUnlikable
19;20;NonaffectiveUnlikable
20;20;NonaffectiveUnlikable
25.5;16;NonaffectiveUnlikable
25;10;NonaffectiveUnlikable
49;29.5;NonaffectiveUnlikable
21;12.5;NonaffectiveUnlikable
39.5;29.5;NonaffectiveUnlikable
2.5;35;NonaffectiveUnlikable
49;3.5;NonaffectiveUnlikable
5;45;NonaffectiveUnlikable
50.5;0;NonaffectiveUnlikable
54;9.5;NonaffectiveUnlikable
39;22.5;NonaffectiveUnlikable
0;0;NonaffectiveUnlikable
17.5;12.5;NonaffectiveUnlikable
1;37;NonaffectiveUnlikable
5;0;NonaffectiveUnlikable
41.5;1;NonaffectiveUnlikable
16;5.5;NonaffectiveUnlikable
