AffectiveLikable;AffectiveUnlikable;NonaffectiveLikable;NonaffectiveUnlikable
100;54,5;84,5;45
90;10;70;0
85;85;5;0
71;62,5;73,5;27,5
85,5;75;60,5;5,5
94,5;61,5;57,5;14,5
46,5;67;65;42
94;68,5;73;57
78;80;20;6
88,5;85;24,5;16
80,5;56;38,5;12,5
100;70;71,5;19
95;50;65;20
86,5;85;47,5;25,5
45,5;60;100;25
95,5;74,5;24,5;49
80;43,5;65;21
63,5;65,5;31,5;39,5
90;35;85;2,5
72,5;61,5;72,5;49
100;92,5;40;5
100;94,5;80;50,5
100;75;57;54
59;43,5;66,5;39
100;85;12,5;0
100;100;10;17,5
92,5;94,5;11,5;1
87,5;5;42,5;5
76,5;36;73;41,5
88;19;69,5;16
