high;low
95,5;80,5
98;69,5
67,5;55,5
85;30
100;15
89,5;39
100;100
74,5;39
77;35,5
97;49
80;0
100;5
66,5;32,5
91,5;10
82,5;21
68;75,5
96;62,5
100;13
91;22
64;24
95;68,5
70;22,5
91;32,5
95;65
98;14,5
85,5;56,5
44;23,5
100;0
63,5;45,5
100;10
95;75
100;55
57,5;43
90;25
97,5;12,5
93,5;85,5
95;75
80;11,5
86,5;11
94;83,5
100;70
100;15
66;33
83;50
84,5;70,5
53,5;64
87,5;73,5
54;90
85,5;70
77;52,5
95;75
60;80
92;61,5
84,5;69,5
82;88
79,5;85
65,5;40,5
35;95
83;65
92,5;75
84,5;80
100;87
60,5;50,5
67,5;40
100;65
75;18
62,5;100
65,5;89,5
87;84,5
100;35
90;60
85;75
71;59
85,5;75
94,5;19
46,5;78,5
94;73,5
78;40
88,5;94
80,5;52,5
100;37
95;25,5
86,5;74,5
45,5;71,5
95,5;71,5
80;33,5
63,5;69
90;0
72,5;76,5
100;50
100;90
100;64,5
59;66
100;62,5
100;90
92,5;98,5
87,5;100
76,5;11
88;48,5
0,5;85
30;20
27,5;55
42,5;32
37;60
13,5;55,5
63,5;50
67;70,5
13;65
21,5;37
35;55,5
21;69
56;89,5
83,5;59
85;75
49,5;75,5
25;72
54,5;44,5
0;55
93;57
7,5;95
89,5;89
87,5;63
49,5;52,5
42,5;62,5
77,5;47,5
88;85,5
95;95
25,5;50
34,5;71,5
5;43,5
0;30
92,5;0
29,5;32
5;14,5
63,5;20
83;26
82,5;62
42;13,5
80;20
31;18,5
26;18,5
46;38,5
73;10
64;60,5
59,5;58
70;56,5
50;40
0;90
68,5;45,5
100;0
60;45
90;70,5
58;68,5
75;5
92,5;5
94;33
100;5
10;100
0;61,5
0,5;25
0;50
80;0
28;42,5
9,5;25
59,5;20
83;25
76;72,5
12,5;7,5
30,5;17,5
43,5;21,5
37;20
40;10
71;11,5
60;74,5
79;25,5
20;81,5
60;35,5
5;60
65;32
75;0
86;49,5
81;80,5
65;56
45;20
65;5
97;1,5
95;2,5
30,5;93
5,5;73,5
44,5;34,5
0;9
95;0
53,5;22
30;3
71,5;50
57,5;51,5
40,5;60,5
60;28
79;14,5
31;15
65;27
70;30,5
91,5;36,5
20;80,5
91;76
55,5;25
44,5;26
0;5
56;36,5
30;5
95;74,5
84;36,5
62,5;47,5
52,5;15
100;17,5
97,5;8
77,5;37,5
8,5;30
41;35
55,5;85
40;50
100;0
56;36
85;35
87;69
66;54,5
81,5;67
85,5;75
88,5;30,5
75;44,5
80;70,5
31;70
89,5;37,5
45;79,5
70;66
44,5;73
95;50
0;95
85,5;72,5
80;60
95;80
90,5;83
74,5;67
80;20
100;67,5
99,5;22,5
90;100
54,5;85,5
29;72
15;36
0;0
75;22,5
66;34,5
0;49,5
20,5;23,5
53,5;57
83;66
14;9,5
13;20,5
31,5;29,5
11;31,5
60,5;40
81,5;47
65;25
79,5;80,5
44,5;20,5
60;32,5
0;0
44;61,5
92,5;10
70;46
100;42,5
30;53
80;22,5
100;20
38;1
87,5;90
29;11,5
19;30
59,5;15,5
69;10
65;39,5
24;21,5
85;24,5
81;21
77;67,5
77;69
74,5;47
91,5;57
82,5;43
81;50
62,5;50
94,5;56
49,5;36
89,5;31,5
64,5;30
89,5;20,5
0;0
89;64
75;27,5
100;95
98;62
49;56
70;37,5
100;70
98,5;50,5
75;95
19,5;39
31;18
85,5;84,5
20;70
100;5
45;73,5
80;60,5
54,5;57,5
60,5;65
64,5;73
65;20
84;24,5
56,5;38,5
67;71,5
80;65
74;47,5
55,5;100
82,5;24,5
55;65
44,5;31,5
0;85
66;72,5
85;40
100;80
95,5;57
73;66,5
60;12,5
85;10
66;11,5
35;42,5
36,5;73
64;69,5
54,5;45
10;0
85;0
62,5;27,5
75;5,5
61,5;14,5
67;42
68,5;57
80;6
85;16
56;12,5
70;19
50;20
85;25,5
60;25
74,5;49
