rating;class
14,5;likableness
15;likableness
27;likableness
30,5;likableness
36,5;likableness
80,5;likableness
76;likableness
25;likableness
26;likableness
5;likableness
36,5;likableness
5;likableness
74,5;likableness
36,5;likableness
47,5;likableness
15;likableness
17,5;likableness
8;likableness
37,5;likableness
30;likableness
35;likableness
85;likableness
50;likableness
0;likableness
36;likableness
35;likableness
69;likableness
54,5;likableness
67;likableness
75;likableness
30,5;likableness
44,5;likableness
70,5;likableness
70;likableness
37,5;likableness
79,5;likableness
66;likableness
73;likableness
50;likableness
95;likableness
72,5;likableness
60;likableness
80;likableness
83;likableness
67;likableness
20;likableness
67,5;likableness
22,5;likableness
100;likableness
85,5;likableness
72;likableness
36;likableness
0;likableness
22,5;likableness
34,5;likableness
49,5;likableness
23,5;likableness
57;likableness
66;likableness
9,5;likableness
20,5;likableness
29,5;likableness
31,5;likableness
40;likableness
47;likableness
25;likableness
80,5;likableness
20,5;likableness
32,5;likableness
0;likableness
61,5;likableness
10;likableness
46;likableness
42,5;likableness
53;likableness
22,5;likableness
20;likableness
1;likableness
90;likableness
11,5;likableness
30;likableness
15,5;likableness
10;likableness
39,5;likableness
21,5;likableness
24,5;likableness
21;likableness
67,5;likableness
69;likableness
47;likableness
57;likableness
43;likableness
50;likableness
50;likableness
56;likableness
36;likableness
31,5;likableness
30;likableness
20,5;likableness
0;likableness
64;likableness
27,5;likableness
95;likableness
62;likableness
56;likableness
37,5;likableness
70;likableness
50,5;likableness
95;likableness
39;likableness
18;likableness
84,5;likableness
70;likableness
5;likableness
73,5;likableness
60,5;likableness
57,5;likableness
65;likableness
73;likableness
20;likableness
24,5;likableness
38,5;likableness
71,5;likableness
65;likableness
47,5;likableness
100;likableness
24,5;likableness
65;likableness
31,5;likableness
85;likableness
72,5;likableness
40;likableness
80;likableness
57;likableness
66,5;likableness
12,5;likableness
10;likableness
11,5;likableness
42,5;likableness
73;likableness
69,5;likableness
45;likableness
0;likableness
0;likableness
27,5;likableness
5,5;likableness
14,5;likableness
42;likableness
57;likableness
6;likableness
16;likableness
12,5;likableness
19;likableness
20;likableness
25,5;likableness
25;likableness
49;likableness
21;likableness
39,5;likableness
2,5;likableness
49;likableness
5;likableness
50,5;likableness
54;likableness
39;likableness
0;likableness
17,5;likableness
1;likableness
5;likableness
41,5;likableness
16;likableness
