;ROI;Classification accuracy;Class
303;LTL;0.528466933;likableness
304;LTL;0.618273347;likableness
305;LTL;0.66130899;likableness
306;LTL;0.585777268;likableness
307;LTL;0.682974599;likableness
308;LTL;0.659236858;likableness
309;LTL;0.667371378;likableness
310;LTL;0.666218638;likableness
311;LTL;0.550088983;likableness
312;LTL;0.524627576;likableness
313;LTL;0.602850582;likableness
314;LTL;0.503053751;likableness
315;LTL;0.600135964;likableness
316;LTL;0.495294143;likableness
317;LTL;0.557587241;likableness
318;LTL;0.580743168;likableness
319;LTL;0.588093638;likableness
320;LTL;0.693022576;likableness
321;LTL;0.605002053;likableness
322;LTL;0.594786066;likableness
323;LTL;0.620865069;likableness
324;LTL;0.617053714;likableness
325;LTL;0.602178539;likableness
326;LTL;0.605834329;likableness
327;LTL;0.541154856;likableness
328;LTL;0.722262669;likableness
329;LTL;0.642829363;likableness
330;IFG;0.507334914;likableness
331;IFG;0.539353408;likableness
332;IFG;0.662609518;likableness
333;IFG;0.542985862;likableness
334;IFG;0.562691346;likableness
335;IFG;0.648134147;likableness
336;IFG;0.562198203;likableness
337;IFG;0.564092991;likableness
338;IFG;0.572706653;likableness
339;IFG;0.628469111;likableness
340;IFG;0.61699771;likableness
341;IFG;0.510466448;likableness
342;IFG;0.495424818;likableness
343;IFG;0.565270622;likableness
344;IFG;0.480036278;likableness
345;IFG;0.611302457;likableness
346;IFG;0.536215651;likableness
347;IFG;0.527998681;likableness
348;IFG;0.59179143;likableness
349;IFG;0.54518867;likableness
350;IFG;0.648530839;likableness
351;IFG;0.580007343;likableness
352;IFG;0.590433343;likableness
353;IFG;0.59968638;likableness
354;IFG;0.582560173;likableness
355;IFG;0.567546545;likableness
356;IFG;0.625186679;likableness
357;IFG;0.553136512;likableness
358;IFG;0.677291791;likableness
359;IFG;0.61621366;likableness
360;Prec;0.646268917;likableness
361;Prec;0.546594982;likableness
362;Prec;0.614228644;likableness
363;Prec;0.535426934;likableness
364;Prec;0.571348566;likableness
365;Prec;0.617657308;likableness
366;Prec;0.585856606;likableness
367;Prec;0.62060683;likableness
368;Prec;0.632114011;likableness
369;Prec;0.665840614;likableness
370;Prec;0.670832711;likableness
371;Prec;0.580609381;likableness
372;Prec;0.508630775;likableness
373;Prec;0.569780466;likableness
374;Prec;0.522754567;likableness
375;Prec;0.570371615;likableness
376;Prec;0.535968302;likableness
377;Prec;0.546406748;likableness
378;Prec;0.542449161;likableness
379;Prec;0.59637439;likableness
380;Prec;0.657877215;likableness
381;Prec;0.557504791;likableness
382;Prec;0.582821523;likableness
383;Prec;0.620483933;likableness
384;Prec;0.627370818;likableness
385;Prec;0.595792575;likableness
386;Prec;0.579742881;likableness
387;Prec;0.537127265;likableness
388;Prec;0.686311479;likableness
389;Prec;0.607660668;likableness
390;ATL;0.615292712;likableness
391;ATL;0.604420238;likableness
392;ATL;0.564760367;likableness
393;ATL;0.503568673;likableness
394;ATL;0.559852275;likableness
395;ATL;0.546428527;likableness
396;ATL;0.55446193;likableness
397;ATL;0.552343128;likableness
398;ATL;0.512372125;likableness
399;ATL;0.567633662;likableness
400;ATL;0.630228557;likableness
401;ATL;0.528356481;likableness
402;ATL;0.457729739;likableness
403;ATL;0.49909772;likableness
404;ATL;0.527328193;likableness
405;ATL;0.555919579;likableness
406;ATL;0.523957089;likableness
407;ATL;0.469619611;likableness
408;ATL;0.553148957;likableness
