,ID,accuracy,ROI,class,cv
329,sub-030,14.0931389,IFG,likableness,chunk
330,sub-001,10.5865658,Prec,likableness,chunk
331,sub-002,6.0760464,Prec,likableness,chunk
332,sub-003,20.2631394,Prec,likableness,chunk
333,sub-004,23.8901151,Prec,likableness,chunk
334,sub-005,4.8296857,Prec,likableness,chunk
335,sub-006,15.2372382,Prec,likableness,chunk
336,sub-007,16.7456356,Prec,likableness,chunk
337,sub-008,13.419808,Prec,likableness,chunk
338,sub-009,15.5597557,Prec,likableness,chunk
339,sub-010,12.5442991,Prec,likableness,chunk
340,sub-011,20.9167743,Prec,likableness,chunk
341,sub-012,16.7030739,Prec,likableness,chunk
342,sub-013,8.2654881,Prec,likableness,chunk
343,sub-014,-1.219247,Prec,likableness,chunk
344,sub-015,3.7756167,Prec,likableness,chunk
345,sub-016,9.216895,Prec,likableness,chunk
346,sub-017,3.0380979,Prec,likableness,chunk
347,sub-018,9.5507718,Prec,likableness,chunk
348,sub-019,8.398905,Prec,likableness,chunk
349,sub-020,11.6381955,Prec,likableness,chunk
350,sub-021,8.7389812,Prec,likableness,chunk
351,sub-022,17.1019232,Prec,likableness,chunk
352,sub-023,18.0558663,Prec,likableness,chunk
353,sub-024,13.4164213,Prec,likableness,chunk
354,sub-025,15.7644819,Prec,likableness,chunk
355,sub-026,9.6280551,Prec,likableness,chunk
356,sub-027,26.4849411,Prec,likableness,chunk
357,sub-028,10.2176803,Prec,likableness,chunk
358,sub-029,10.2938077,Prec,likableness,chunk
359,sub-030,13.5445711,Prec,likableness,chunk
360,sub-001,14.0662063,ATL,likableness,chunk
361,sub-002,5.5528013,ATL,likableness,chunk
362,sub-003,11.5951973,ATL,likableness,chunk
363,sub-004,14.6029987,ATL,likableness,chunk
364,sub-005,10.7985564,ATL,likableness,chunk
365,sub-006,4.6035586,ATL,likableness,chunk
366,sub-007,8.1029311,ATL,likableness,chunk
367,sub-008,7.1571357,ATL,likableness,chunk
368,sub-009,13.6499784,ATL,likableness,chunk
369,sub-010,12.3871341,ATL,likableness,chunk
370,sub-011,11.8579831,ATL,likableness,chunk
371,sub-012,12.2131191,ATL,likableness,chunk
372,sub-013,-4.4702245,ATL,likableness,chunk
373,sub-014,2.9220506,ATL,likableness,chunk
374,sub-015,-0.5141538,ATL,likableness,chunk
375,sub-016,14.2625541,ATL,likableness,chunk
376,sub-017,9.1094533,ATL,likableness,chunk
377,sub-018,11.8121141,ATL,likableness,chunk
378,sub-019,-0.2046785,ATL,likableness,chunk
379,sub-020,7.1985241,ATL,likableness,chunk
380,sub-021,3.5210064,ATL,likableness,chunk
381,sub-022,15.0877442,ATL,likableness,chunk
382,sub-023,2.2931833,ATL,likableness,chunk
383,sub-024,13.6199406,ATL,likableness,chunk
