roi;accuracy;category
5_aPFC;0.023422622373390864;intersection
3_Prec;0.036858293178133994;semantic
9_V1;0.004453679850612912;control
7_ACC;0.064404388316067;social
1_LTL;0.04042388375744314;semantic
4_ATL;0.01920204137545285;intersection
2_IFG;0.0209343280275754;semantic
6_Ins;0.020277367143626285;social
8_PCC;0.027363501353525176;social
5_aPFC;0.03569867453183062;intersection
3_Prec;0.031693526518628265;semantic
9_V1;0.018293296550303925;control
7_ACC;0.07189251724359852;social
1_LTL;0.12046874307602135;semantic
4_ATL;0.08727255307467484;intersection
2_IFG;0.05354813450725251;semantic
6_Ins;0.03497424709293353;social
8_PCC;0.02416849431120685;social
5_aPFC;0.05592915550715361;intersection
3_Prec;0.09177360363975903;semantic
9_V1;0.02419331666505101;control
7_ACC;0.006735880084332553;social
1_LTL;0.02079834169731522;semantic
4_ATL;0.00771290928354718;intersection
2_IFG;0.025415814200186224;semantic
6_Ins;0.01781988717052812;social
8_PCC;0.01506282282101251;social
5_aPFC;0.018985339209853073;intersection
3_Prec;0.025586762659852953;semantic
9_V1;0.010542145008292649;control
7_ACC;0.029972856473159018;social
1_LTL;0.027464678317191026;semantic
4_ATL;0.017216413822994273;intersection
2_IFG;0.012751485924095309;semantic
6_Ins;0.02585739194890231;social
8_PCC;0.023995150965268882;social
5_aPFC;0.029972856473159018;intersection
3_Prec;0.024085564165355296;semantic
9_V1;0.026393218182897374;control
7_ACC;0.011759738789749776;social
1_LTL;0.01646601595021003;semantic
4_ATL;0.005800930096703282;intersection
2_IFG;0.013266394575266717;semantic
6_Ins;0.011741700909160983;social
8_PCC;0.003921146078679323;social
5_aPFC;0.004835422098009583;intersection
3_Prec;0.014243647386559803;semantic
9_V1;0.004991560750407303;control
7_ACC;0.010063646795351166;social
1_LTL;0.016666292776280667;semantic
4_ATL;0.0;intersection
2_IFG;0.007670731923859203;semantic
6_Ins;0.011555418124433801;social
8_PCC;0.02672580468928814;social
5_aPFC;0.0077219793431265536;intersection
3_Prec;0.014047334140487519;semantic
9_V1;0.014047334140487519;control
7_ACC;0.009959674055938261;social
1_LTL;0.016225127858336647;semantic
4_ATL;0.00675557997271299;intersection
2_IFG;0.012328058091906548;semantic
6_Ins;0.020261514622275587;social
8_PCC;0.007441225616178732;social
5_aPFC;0.012328058091906548;intersection
3_Prec;0.016327638654474022;semantic
9_V1;0.0;control
7_ACC;0.018656083647904085;social
1_LTL;0.024293079038700958;semantic
4_ATL;0.01301898226261487;intersection
2_IFG;0.045574535781527425;semantic
6_Ins;0.04203290941376265;social
8_PCC;0.011300424602497673;social
5_aPFC;0.017545209016879688;intersection
3_Prec;0.015410510627066753;semantic
9_V1;0.008136886012548613;control
7_ACC;0.06587635991325796;social
1_LTL;0.04917721618944481;semantic
4_ATL;0.015416916767270118;intersection
2_IFG;0.035421111572313875;semantic
6_Ins;0.035421111572313875;social
8_PCC;0.04692630118903522;social
5_aPFC;0.06929462565920645;intersection
3_Prec;0.026036617006241526;semantic
9_V1;0.006584435975233322;control
7_ACC;0.022357557769826043;social
1_LTL;0.04919280793376359;semantic
4_ATL;0.02690032029887094;intersection
2_IFG;0.029565555516745633;semantic
6_Ins;0.01878386696593233;social
8_PCC;0.02801494046654459;social
5_aPFC;0.017952012254935732;intersection
3_Prec;0.022021975191055355;semantic
9_V1;0.013689119273376299;control
7_ACC;0.04788522546847978;social
1_LTL;0.03610404275975022;semantic
4_ATL;0.023807998355583417;intersection
2_IFG;0.022195872599806477;semantic
6_Ins;0.0495244213045332;social
8_PCC;0.04788522546847978;social
5_aPFC;0.036708108072056544;intersection
3_Prec;0.06569589048763783;semantic
9_V1;0.023136099990650704;control
7_ACC;0.011932310595224406;social
1_LTL;0.010937807372762736;semantic
4_ATL;0.01868369185344614;intersection
2_IFG;0.015249731884772744;semantic
6_Ins;0.01868369185344614;social
8_PCC;0.01271515173605774;social
5_aPFC;0.012007011539972882;intersection
3_Prec;0.01789845584099659;semantic
9_V1;0.002515817777768324;control
7_ACC;0.045884385562811776;social
1_LTL;0.02749006913370638;semantic
4_ATL;0.017252572590780495;intersection
2_IFG;0.02797690608913236;semantic
6_Ins;0.025894553783535126;social
8_PCC;0.045884385562811776;social
5_aPFC;0.025894553783535126;intersection
3_Prec;0.020820754800841265;semantic
9_V1;0.014643548988936508;control
7_ACC;0.021344110386541687;social
